"source","target","weight"
48899,2616288,3131
97606,2616288,1356
2150990,2616288,5
321273,2616288,4
284023,2616288,2
1847577,2616288,1
6411699,2616288,1
32407,2616288,1
84020,2616288,1
8518239,2616288,1
1463164,2616288,1
139729,2616288,1
198281,638566,134
9973,638566,7
751587,638566,2
241094,638566,1
324632,638566,1
1169793,638566,1
954970,638566,1
4029586,638566,1
8086,638566,1
865272,58161011,286
146144,58161011,9
178582,58161011,3
914873,58161011,3
5846332,58161011,2
49535,58161011,2
276281,58161011,2
4924090,58161011,2
693744,58161011,2
1254858,58161011,1
128454,58161011,1
5963049,58161011,1
13787,58161011,1
16392,3271130,236
112971,3271130,4
1301158,3271130,2
815386,3271130,1
20662,3271130,1
623509,3271130,1
6571068,3271130,1
1577682,3271130,1
754723,3271130,1
192014,3271130,1
1464328,45027656,513
154710,45027656,21
313596,45027656,1
284476,45027656,1
1975118,45027656,1
13736092,45027656,1
1052630,5089764,683
3604312,5089764,16
1447488,5089764,14
2470152,5089764,4
64804,5089764,2
1455745,5089764,2
175882,5089764,2
810921,5089764,2
24844,5089764,2
1518637,5089764,2
2656965,5089764,1
813785,5089764,1
1622093,5089764,1
10691257,30597615,233
6293971,30597615,3
5487736,30597615,3
1646109,30597615,3
662883,30597615,2
1292730,30597615,1
1987473,30597615,1
5300832,30597615,1
1421384,30597615,1
107189,30597615,1
218840,30597615,1
1636122,30597615,1
482906,30597615,1
6261013,30597615,1
2748846,30597615,1
168006,3871325,209
22708,3871325,61
7168454,3871325,16
137806,3871325,4
138514,3871325,4
1151946,3871325,3
355756,3871325,3
68482,3871325,2
3873211,3871325,2
236070,3871325,1
236767,28814210,198
10579186,28814210,34
1216657,28814210,10
4040623,28814210,5
321273,28814210,3
541058,28814210,3
3166056,28814210,3
4366473,28814210,3
134491,28814210,2
3661115,28814210,2
102605,28814210,2
9017980,28814210,2
2853493,28814210,2
1226936,28814210,2
153459,28814210,1
21567,28814210,1
135203,28814210,1
130974,28814210,1
151595,28814210,1
541289,28814210,1
222467,28814210,1
546,28814210,1
1179074,28814210,1
5770,28814210,1
52,28814210,1
1910879,28814210,1
3240173,28814210,1
7725188,28814210,1
840985,28814210,1
468850,28814210,1
3044,72706,1035
64967,72706,18
789449,72706,16
352559,72706,16
1126864,72706,10
4085046,72706,6
18488,72706,5
6571068,72706,5
196982,72706,3
23374,72706,3
139492,72706,3
198390,72706,3
170227,72706,2
291333,72706,2
2607527,72706,2
1198065,72706,2
1304831,72706,2
9451,72706,2
1488534,72706,2
121262,72706,2
109513,72706,2
53024,72706,2
428642,72706,2
688331,72706,2
33631,72706,1
127186,72706,1
37969,72706,1
175336,72706,1
769380,72706,1
3471749,72706,1
95501,392759,1366
679122,392759,24
436499,392759,15
26378,392759,13
5612252,392759,12
97081,392759,11
1277,392759,10
2814972,392759,8
84680,392759,8
1208686,392759,6
343499,392759,6
1113720,392759,5
158568,392759,5
693288,392759,5
1295739,392759,4
60647,392759,4
461132,392759,4
226650,392759,4
170227,392759,3
1006477,392759,3
1907333,392759,3
1158347,392759,3
1000918,392759,3
55833,392759,3
1936426,392759,3
552356,392759,3
100681,392759,3
4586410,392759,3
344609,392759,3
46716,392759,2
100681,5134592,576
11019,5134592,316
448274,5134592,20
319,5134592,19
1270186,5134592,19
49415,5134592,11
4266810,5134592,9
54288,5134592,9
22570,5134592,8
2486992,5134592,6
1113720,5134592,5
255417,5134592,4
196982,5134592,3
993363,5134592,3
40615,5134592,3
127294,5134592,2
87764,5134592,2
167879,5134592,2
941215,5134592,2
442035,5134592,1
929011,5134592,1
775038,5134592,1
37715,5134592,1
592078,5134592,1
38847,5134592,1
4922302,5134592,1
16063,5134592,1
898989,5134592,1
66570,5134592,1
496914,5134592,1
609606,18379853,18
19712,18379853,13
1299134,18379853,10
1107121,18379853,10
51087,18379853,9
714413,18379853,6
212146,18379853,4
733205,18379853,2
3391801,18379853,2
242766,18379853,1
1018013,18379853,1
551247,18379853,1
82731,18379853,1
168507,18379853,1
2613966,18379853,1
107968,18379853,1
47439,18379853,1
448516,18379853,1
1433735,18379853,1
3425521,18379853,1
354096,849182,674
620450,849182,167
448274,849182,88
53340,849182,39
2814972,849182,20
3985225,849182,12
22570,849182,11
1010174,849182,8
179128,849182,5
143982,849182,3
1183,849182,3
69209,849182,3
748856,849182,3
320177,849182,2
1270186,849182,2
26420,849182,2
1156448,849182,2
480920,849182,2
46716,849182,1
11019,849182,1
875324,849182,1
1619948,849182,1
1300,849182,1
174118,849182,1
2042019,849182,1
10210727,849182,1
49415,849182,1
686582,849182,1
15367484,849182,1
3302,849182,1
2364661,3077100,49
461132,3077100,28
19712,3077100,16
92299,3077100,9
134072,3077100,7
16063,3077100,6
41730,3077100,4
2192042,3077100,4
408753,3077100,4
2574405,3077100,3
2049010,3077100,3
2814972,3077100,3
23751,3077100,2
597476,3077100,2
153842,3077100,2
875630,3077100,2
325050,3077100,2
40221,3077100,1
459138,3077100,1
1010174,3077100,1
57031,3077100,1
875324,3077100,1
21860,3077100,1
166966,3077100,1
1738536,3077100,1
70110,3077100,1
107968,3077100,1
191720,3077100,1
141265,3077100,1
49415,3077100,1
222467,1335542,613
706040,1335542,417
5548,1335542,299
893115,1335542,247
14618,1335542,203
2665074,1335542,64
170192,1335542,64
985195,1335542,54
287050,1335542,50
685529,1335542,40
933964,1335542,32
7935057,1335542,28
736089,1335542,27
9931928,1335542,25
777239,1335542,24
34317,1335542,19
23128,1335542,18
5943,1335542,17
164965,1335542,13
92360,1335542,12
283519,1335542,10
2147171,1335542,9
5457807,1335542,8
1441126,1335542,8
873530,1335542,7
82731,1335542,7
4897842,1335542,7
20680,1335542,6
1366014,1335542,6
92735,1335542,6
3044,571770,3232
835121,571770,294
507994,571770,166
1216657,571770,154
7275622,571770,55
4840096,571770,40
157497,571770,28
98500,571770,23
1084407,571770,20
602025,571770,19
10970208,571770,19
221068,571770,16
1523306,571770,15
312957,571770,11
251106,571770,9
292128,571770,9
45629,571770,7
1098563,571770,7
44879,571770,6
83901,571770,6
44175,571770,5
23374,571770,5
13182,571770,5
13976205,571770,5
2765811,571770,5
226650,571770,5
1010174,571770,4
273688,571770,4
1126864,571770,4
533425,571770,4
911911,20787122,782
5537246,20787122,141
20662,20787122,110
27695,20787122,70
8282507,20787122,44
241851,20787122,25
1662327,20787122,6
2246565,20787122,5
4532328,20787122,5
1327189,20787122,4
959946,20787122,3
50286,20787122,3
24905,20787122,3
1829294,20787122,3
127971,20787122,3
383212,20787122,3
1010174,20787122,2
151276,20787122,2
611109,20787122,2
33602,20787122,2
3022749,20787122,2
1206234,20787122,2
597476,20787122,1
396592,20787122,1
70845,20787122,1
2331247,20787122,1
2805640,20787122,1
16063,20787122,1
505155,20787122,1
234051,20787122,1
1865411,12373318,789
5645741,12373318,139
93006,12373318,47
550878,12373318,45
61575,12373318,18
1010174,12373318,16
134491,12373318,12
1634990,12373318,9
1183,12373318,7
335567,12373318,6
888880,12373318,5
3689208,12373318,5
2244895,12373318,5
533007,12373318,4
1472653,12373318,4
10285250,12373318,4
1564306,12373318,4
115330,12373318,3
54799,12373318,3
1528675,12373318,3
5353499,12373318,3
118211,12373318,2
1299873,12373318,2
63495,12373318,2
1694861,12373318,2
12377,12373318,2
5374911,12373318,2
1264127,12373318,1
205266,12373318,1
233689,12373318,1
630306,13206906,1959
693642,13206906,668
1270186,13206906,156
1356417,13206906,96
6189397,13206906,47
51087,13206906,33
37715,13206906,33
718812,13206906,26
2770891,13206906,26
959901,13206906,20
43347,13206906,18
5386869,13206906,14
1961136,13206906,14
218840,13206906,14
2613966,13206906,13
1709849,13206906,13
1301484,13206906,13
1189645,13206906,12
106587,13206906,11
5914822,13206906,9
1289006,13206906,8
30594,13206906,6
834942,13206906,6
15840,13206906,6
164646,13206906,5
191977,13206906,5
6411699,13206906,5
144058,13206906,4
8547573,13206906,4
226650,13206906,4
304657,5185084,2417
12164,5185084,372
244266,5185084,171
3265,5185084,88
578048,5185084,66
39660,5185084,59
1901799,5185084,53
2364661,5185084,45
1149047,5185084,36
979001,5185084,35
862666,5185084,35
22570,5185084,30
1847577,5185084,28
319,5185084,21
490421,5185084,19
378816,5185084,17
3416,5185084,17
2345921,5185084,16
3192959,5185084,13
30712,5185084,12
136101,5185084,12
285533,5185084,11
1354887,5185084,10
535574,5185084,9
501899,5185084,9
123301,5185084,8
461132,5185084,8
1893117,5185084,7
48899,5185084,7
8416181,5185084,6
16392,1745807,18393
796623,1745807,499
754723,1745807,336
39889,1745807,300
113445,1745807,60
251584,1745807,59
28323,1745807,40
148037,1745807,30
39660,1745807,26
16421,1745807,21
3939659,1745807,15
42176,1745807,14
5548,1745807,13
1010174,1745807,7
199180,1745807,7
1312006,1745807,7
2331938,1745807,4
84800,1745807,4
607401,1745807,4
941215,4072305,96
1479741,4072305,94
1658058,4072305,89
6323656,4072305,63
1889997,4072305,62
927584,4072305,61
2942930,4072305,47
1191970,4072305,32
5853832,4072305,20
9977,4072305,19
37968,4072305,16
3744026,4072305,13
46716,4072305,12
1253566,4072305,12
1094080,4072305,9
167879,4072305,9
13812,4072305,8
1512705,4072305,8
1270186,4072305,7
4319484,4072305,6
1237863,4072305,6
163737,4072305,6
327833,4072305,4
1391608,4072305,4
1222,4072305,3
1430279,4072305,3
127433,4072305,3
1668487,4072305,3
147324,4072305,3
118211,4072305,3
