"source","target","weight"
66577,2155793,213
1358105,2155793,4
662325,2155793,3
189372,2155793,3
283794,2155793,2
52038,2155793,2
549365,2155793,2
1028039,2155793,2
1082715,2155793,1
227486,2155793,1
833939,2155793,1
45758,2155793,1
671378,2155793,1
275715,2155793,1
44656,2155793,1
1223348,2862290,953
5557539,2862290,17
738622,2862290,6
470128,2862290,5
391997,2862290,2
993832,2862290,2
991367,2862290,2
9422761,2862290,2
3197984,2862290,2
226237,2862290,2
7643538,2862290,2
415576,2862290,1
353288,2862290,1
783598,2862290,1
1082715,2862290,1
87961,2862290,1
1167793,2862290,1
3576549,2862290,1
4226151,2862290,1
1281464,2862290,1
1614482,2862290,1
4618833,2862290,1
910151,2862290,1
971350,2862290,1
2689564,2862290,1
144518,2862290,1
5013687,2862290,1
1244275,2862290,1
2102422,2862290,1
11161622,2862290,1
115201,53658802,575
206848,53658802,363
1018815,53658802,361
7642368,53658802,321
5382962,53658802,291
1625893,53658802,284
1545874,53658802,234
11631084,53658802,197
8401776,53658802,177
1578838,53658802,146
4162544,53658802,145
11516748,53658802,129
18302124,53658802,95
1314662,53658802,86
7436932,53658802,42
5134163,53658802,42
3962302,53658802,28
3274605,53658802,27
909312,53658802,25
7764115,53658802,18
731134,53658802,18
677114,53658802,15
6133685,53658802,15
5766252,53658802,11
212984,53658802,10
184419,53658802,9
10682908,53658802,7
11434270,53658802,5
8075271,53658802,4
17945087,53658802,4
1627211,11267509,986
2906988,11267509,54
1297988,11267509,10
873077,11267509,8
1475312,11267509,7
243115,11267509,6
6540299,11267509,5
5759366,11267509,3
6314616,11267509,3
381137,11267509,3
2749269,11267509,2
283939,11267509,2
932609,11267509,2
11764352,11267509,2
863983,11267509,2
739270,11267509,1
294755,11267509,1
7709976,11267509,1
39245,11267509,1
7999856,11267509,1
1207642,11267509,1
2011105,11267509,1
1070871,11267509,1
13303038,11267509,1
269860,11267509,1
1596824,11267509,1
1502975,11267509,1
2539310,11267509,1
439616,11267509,1
578021,11267509,1
131416,2404027,1271
379733,2404027,59
2708344,2404027,42
260896,2404027,40
905298,2404027,34
4259,2404027,15
3344813,2404027,14
3441321,2404027,13
134872,2404027,13
13118,2404027,9
147630,2404027,8
680838,2404027,8
27544,2404027,7
235745,2404027,7
566300,2404027,7
56439,2404027,4
732858,2404027,3
130043,2404027,3
14142,2404027,3
3129093,2404027,2
249298,2404027,2
1511051,2404027,2
146392,2404027,2
174240,2404027,2
69635,2404027,2
616742,2404027,2
1012058,2404027,2
729910,2404027,2
485647,2404027,1
24657,2404027,1
6759734,19148949,1430
366926,19148949,274
13628883,19148949,26
6817230,19148949,14
4020238,19148949,8
13793037,19148949,4
