"source","target","weight"
20817,441286,307
341662,441286,25
4117,441286,1
1612511,38983564,399
709621,38983564,14
45759,38983564,5
7836062,38983564,2
10886262,38983564,2
90570,1414042,353
539670,1414042,2
387111,1414042,1
85649,1414042,1
840732,1414042,1
830011,1414042,1
761056,1414042,1
483069,16252635,163
29770,20591124,13
1884361,20591124,1
80796,20591124,1
90570,25205462,337
583903,25205462,2
89921,25205462,2
2255192,25205462,1
669650,25205462,1
1224375,25205462,1
6536064,25205462,1
4833204,25205462,1
11342,25205462,1
5202391,25205462,1
1579326,4218007,685
732800,4218007,26
1106403,4218007,2
1692385,4218007,1
37696,199774,273
1989842,199774,1
7430575,28796243,59
163421,28796243,15
16639,28796243,5
148100,28796243,1
45759,28796243,1
975962,22735290,279
1016379,22735290,61
516174,22735290,14
41977,22735290,5
15060004,22735290,2
387111,22735290,1
8518239,22735290,1
976876,27461409,16
5084280,58106049,15
1524866,58106049,1
5781483,58106049,1
3661115,58106049,1
1300,58106049,1
5721314,58106049,1
317653,58106049,1
168836,58106049,1
2907211,58106049,1
90570,25027926,238
1612511,25027926,5
172311,25027926,5
6536064,25027926,4
101514,25027926,1
1612511,19028064,377
41809,19028064,3
3161,19028064,1
1612511,5719635,351
2054352,45371258,144
69571,45371258,4
744167,45371258,2
54043,949339,538
52547,949339,8
96574,949339,3
2631,949339,3
9118,949339,2
368685,949339,1
1837,949339,1
6784,949339,1
151663,949339,1
19492,949339,1
236886,949339,1
12048,949339,1
132105,949339,1
90570,16112664,282
1321968,16112664,18
1393649,16112664,7
71670,16112664,5
2935736,16112664,2
1139482,16112664,1
4434568,16112664,1
1449025,6364653,10684
909300,6364653,94
6234337,6364653,12
6871201,6364653,11
840732,6364653,11
8405160,6364653,2
127439,6364653,1
1764136,6364653,1
1612511,6364653,1
6773332,6364653,1
72612,29929783,2615
2544247,29929783,14
10542632,29929783,8
469380,29929783,6
13551856,29929783,6
14463,29929783,1
90570,1244792,1017
234520,1244792,18
4434568,1244792,4
387111,1244792,3
2644,1244792,3
986278,1244792,3
3055134,1244792,2
172311,1244792,2
1853481,1244792,2
71670,1244792,2
10437774,1244792,2
174859,1244792,2
6536064,1244792,2
1100934,1244792,2
227946,1244792,2
1612511,1244792,1
1776746,1244792,1
89921,1244792,1
415150,1244792,1
703150,1244792,1
1013908,1244792,1
265168,7440652,1174
1901719,7440652,73
13713,7440652,42
25607,7440652,36
80059,7440652,35
387111,7440652,27
22565,7440652,27
710805,7440652,25
166555,7440652,11
640889,7440652,10
2066235,7440652,10
7549661,7440652,9
761056,7440652,8
153172,7440652,7
1188651,7440652,6
1612511,7440652,3
40873,7440652,1
127439,7440652,1
4336811,7440652,1
334725,7440652,1
415150,7440652,1
3253908,7440652,1
1297463,7440652,1
108751,2293105,356
8073,2293105,9
126911,2293105,8
6915,2293105,6
10473,2293105,6
234992,2293105,5
1016379,2293105,5
366668,2293105,4
2188286,2293105,3
1190583,2293105,3
4498914,2293105,3
1028755,2293105,3
35972,2293105,2
3055134,2293105,2
183505,2293105,2
1976487,2293105,2
101514,2293105,2
430334,2293105,2
168555,2293105,2
864261,2293105,2
8489115,2293105,2
3318872,2293105,2
1096252,2293105,2
985416,2293105,1
2444,2293105,1
669650,2293105,1
3723736,2293105,1
387011,2293105,1
629726,2293105,1
17571,2293105,1
547150,10070738,51
13190980,10070738,3
2512172,10070738,3
1000669,10070738,3
5679,10070738,2
186023,10070738,2
446106,10070738,2
166744,10070738,2
4626810,10070738,1
1210661,10070738,1
5247118,10070738,1
653463,10070738,1
498712,10070738,1
446933,10070738,1
283694,10070738,1
2079042,10070738,1
3977894,10070738,1
1222592,10070738,1
122581,10070738,1
5466969,10070738,1
741171,10070738,1
230661,10070738,1
3253908,10070738,1
4588302,10070738,1
1994486,10070738,1
447579,10070738,1
1473241,10070738,1
71670,22390043,1683
1321968,22390043,131
90570,22390043,78
6536064,22390043,6
2881922,22390043,5
7126128,22390043,3
581152,22390043,3
63022,22390043,2
24827,22390043,1
172311,22390043,1
8390535,22390043,1
5019902,22390043,1
902632,22390043,1
4434568,22390043,1
10111,22390043,1
830011,22390043,1
3253908,22390043,1
5593841,22390043,1
387011,17603517,739
7063009,17603517,521
10473,17603517,391
1506702,17603517,83
45759,17603517,42
387111,17603517,11
366426,17603517,5
2320886,17603517,5
864261,17603517,4
1670142,17603517,3
150189,17603517,3
75788,17603517,2
103882,17603517,2
8073,17603517,2
3677584,17603517,2
190448,17603517,2
699264,17603517,2
385400,17603517,2
245611,17603517,2
6773332,17603517,2
216899,17603517,1
2543811,17603517,1
1049744,17603517,1
25046,17603517,1
406907,17603517,1
513643,17603517,1
22448,17603517,1
4311,17603517,1
13713,17603517,1
389160,17603517,1
153172,1890957,1695
1670142,1890957,1487
469380,1890957,780
608702,1890957,445
150189,1890957,295
704703,1890957,236
151096,1890957,222
202398,1890957,149
484710,1890957,110
1662702,1890957,78
5388435,1890957,75
5246,1890957,72
65829,1890957,57
11864,1890957,43
107666,1890957,24
486396,1890957,10
8972184,1890957,10
840345,1890957,8
366668,1890957,6
366426,1890957,6
8073,1890957,6
711363,1890957,5
270470,1890957,3
405064,1890957,3
265168,1890957,3
7954328,1890957,2
473055,1890957,2
586632,1890957,2
12159013,1890957,2
387111,1890957,2
102900,594087,1058
882976,594087,6
57241,594087,4
447165,594087,3
1598188,594087,3
7801033,594087,3
3650,594087,3
5607572,594087,2
29039,594087,2
81580,594087,2
347634,594087,2
2093506,594087,2
303117,594087,2
272583,594087,1
98980,594087,1
1021828,594087,1
525313,594087,1
61962,594087,1
7302,594087,1
421710,594087,1
513822,594087,1
141694,594087,1
11417,594087,1
860283,594087,1
374898,594087,1
1115379,594087,1
77759,594087,1
364390,594087,1
172056,594087,1
15787,594087,1
171410,4216967,209
114847,4216967,168
516174,4216967,93
42071,4216967,56
37907,4216967,53
133466,4216967,25
86895,4216967,20
1028755,4216967,14
1050933,4216967,13
7925386,4216967,12
196989,4216967,11
387111,4216967,9
7526491,4216967,9
94171,4216967,8
103854,4216967,8
2306492,4216967,8
370551,4216967,7
5346244,4216967,5
565272,4216967,5
1016379,4216967,5
486396,4216967,5
82455,4216967,5
17679581,4216967,5
521306,4216967,5
2881922,4216967,5
92121,4216967,4
923394,4216967,4
7144781,4216967,3
517659,4216967,3
2660,4216967,3
7063009,15344025,521
10473,15344025,425
1506702,15344025,150
45759,15344025,119
387011,15344025,107
6773332,15344025,7
94171,15344025,6
864261,15344025,6
366426,15344025,5
2320886,15344025,5
1670142,15344025,4
3677584,15344025,4
241934,15344025,3
190448,15344025,3
150189,15344025,3
1049744,15344025,3
75788,15344025,2
103882,15344025,2
6234337,15344025,2
13156601,15344025,2
406907,15344025,2
699264,15344025,2
385400,15344025,2
245611,15344025,2
153838,15344025,2
1824859,15344025,2
3274,15344025,2
8073,15344025,1
14026691,15344025,1
2903755,15344025,1
