"source","target","weight"
1106849,5627682,456
1264105,5627682,43
810546,5627682,38
787265,5627682,4
194377,5627682,4
7663987,5627682,3
785542,5627682,3
7984421,5627682,3
214626,5627682,2
8222042,5627682,2
761378,5627682,2
724423,5627682,2
421861,5627682,2
544424,5627682,2
777823,5627682,2
123676,5627682,2
726494,5627682,1
1571119,5627682,1
1560096,5627682,1
5539450,5627682,1
1390090,5627682,1
818237,5627682,1
452453,5627682,1
3284058,5627682,1
3842190,5627682,1
1410358,5627682,1
639822,5627682,1
6906827,5627682,1
4038277,5627682,1
1707104,5627682,1
829059,18673522,864
787487,18673522,55
513603,18673522,53
499192,18673522,19
2829600,18673522,17
4124930,18673522,6
53209,18673522,5
248183,18673522,5
1801923,18673522,5
829963,18673522,4
231361,18673522,4
20956322,18673522,4
5240626,18673522,4
729240,18673522,3
1764057,18673522,3
3323635,18673522,3
9113554,18673522,3
5347897,18673522,2
8588747,18673522,2
17005834,18673522,2
594614,18673522,2
879431,18673522,2
3882619,18673522,2
807381,18673522,2
66879,18673522,2
2756694,18673522,2
172966,18673522,2
2120124,18673522,2
20661820,18673522,2
7965780,18673522,1
770298,4702560,970
1533248,4702560,66
485230,4702560,23
2137268,4702560,20
152236,4702560,11
468395,4702560,7
72603,4702560,5
2651400,4702560,3
94944,4702560,3
365210,4702560,3
885731,4702560,2
4856318,4702560,2
1056389,4702560,2
3710836,4702560,2
1827295,4702560,2
82823,4702560,2
156341,4702560,2
1775044,4702560,1
629281,4702560,1
1616618,4702560,1
868979,4702560,1
3045938,4702560,1
3922428,4702560,1
89267,4702560,1
89710,4702560,1
784787,4702560,1
1991286,4702560,1
310926,4702560,1
311112,4702560,1
1608482,4702560,1
47313,622166,164
30813,622166,23
555254,622166,6
190930,622166,5
27699,622166,5
288535,622166,3
65640,622166,3
85608,622166,3
398720,622166,3
1784740,622166,3
110477,622166,2
439401,622166,2
2716794,622166,2
61351,622166,2
88061,622166,2
688434,622166,2
280997,622166,2
20394,622166,2
916274,622166,2
465798,622166,2
3692812,622166,1
177588,622166,1
212269,622166,1
166890,622166,1
716856,622166,1
1918601,622166,1
272812,622166,1
754920,622166,1
13346,622166,1
5096470,622166,1
81561,2253830,623
1116761,2253830,14
199095,2253830,8
373168,2253830,7
13427371,2253830,5
84076,2253830,5
5522251,2253830,5
1481377,2253830,4
3265671,2253830,3
442991,2253830,3
4988133,2253830,3
6532485,2253830,2
423050,2253830,2
8601765,2253830,2
540268,2253830,2
7493966,2253830,2
1552577,2253830,2
6201068,2253830,2
771843,2253830,2
1887431,2253830,2
1088720,2253830,2
2694949,2253830,2
338814,2253830,2
2394415,2253830,2
2491500,2253830,2
1677443,2253830,2
17830576,2253830,2
9882767,2253830,2
1304918,2253830,2
10671884,2253830,2
8056274,47495360,801
3135216,47495360,9
688309,47495360,8
3277165,47495360,4
2675698,47495360,4
3277097,47495360,3
151829,47495360,3
595159,47495360,3
2775751,47495360,2
5915361,47495360,2
2198105,47495360,2
13602871,47495360,1
3645267,47495360,1
3763726,47495360,1
1257913,47495360,1
3855603,47495360,1
595006,47495360,1
4951300,47495360,1
68414,47495360,1
3691490,47495360,1
2740696,47495360,1
3671070,47495360,1
1283854,47495360,1
4201229,47495360,1
9725089,47495360,1
423683,47495360,1
1185840,47495360,1
7033952,47495360,1
5747127,47495360,1
6404343,47495360,1
246103,26730195,2376
2829600,26730195,973
1803556,26730195,195
779534,26730195,44
15666864,26730195,42
259487,26730195,42
842078,26730195,38
2349344,26730195,16
1862997,26730195,16
3260091,26730195,15
6681948,26730195,11
922350,26730195,10
265913,26730195,9
1449463,26730195,9
862951,26730195,9
6546590,26730195,9
15991828,26730195,7
3453188,26730195,7
5547470,26730195,6
253237,26730195,6
52936,26730195,6
304661,26730195,6
158380,26730195,5
3705263,26730195,5
662870,26730195,5
1622940,26730195,5
13346,26730195,4
3691490,26730195,4
838613,26730195,3
163093,26730195,3
151967,21463898,384
814651,21463898,208
3142755,21463898,167
5122903,21463898,58
11900571,21463898,40
6073063,21463898,37
6270048,21463898,29
7508960,21463898,21
1038044,21463898,14
5445491,21463898,14
2050897,21463898,11
5454648,21463898,10
3907118,21463898,5
10461211,21463898,4
1782621,21463898,4
163093,21463898,3
4390656,21463898,3
469102,21463898,3
2341395,21463898,3
1616386,21463898,3
3318786,21463898,2
19559599,21463898,2
6809086,21463898,2
570639,21463898,2
6119312,21463898,2
10751405,21463898,2
1164982,21463898,1
149450,21463898,1
1254971,21463898,1
82041,21463898,1
466765,1548202,8582
273120,1548202,3750
125140,1548202,2433
922051,1548202,2196
1579355,1548202,2145
720328,1548202,943
617518,1548202,624
176576,1548202,548
415891,1548202,209
723165,1548202,164
150845,1548202,60
576937,1548202,53
533017,1548202,42
1097439,1548202,32
683352,1548202,31
445179,1548202,27
800119,1548202,25
3662335,1548202,16
3463263,1548202,16
11892841,1548202,16
12214495,1548202,15
433384,1548202,14
10441858,1548202,13
725049,1548202,13
176382,1548202,13
7943292,1548202,12
1018973,1548202,11
13751049,1548202,10
4839878,1548202,10
1432899,1548202,9
603116,2246815,226
1543951,2246815,37
4972235,2246815,21
966337,2246815,19
3317635,2246815,17
732441,2246815,16
1922539,2246815,16
1620107,2246815,11
605483,2246815,9
624760,2246815,9
1260026,2246815,9
492682,2246815,5
517501,2246815,5
605742,2246815,5
661529,2246815,4
1021827,2246815,4
2118695,2246815,4
1135607,2246815,4
1906462,2246815,3
50682,2246815,3
159255,2246815,3
8798694,2246815,3
3997347,2246815,3
2189764,2246815,2
2969996,2246815,2
1499352,2246815,2
2200430,2246815,2
8446504,2246815,2
744962,2246815,2
703007,2246815,2
1084697,22553797,1705
11783388,22553797,577
11734,22553797,332
854915,22553797,288
1267900,22553797,82
9073307,22553797,37
8962537,22553797,30
5360877,22553797,13
778078,22553797,13
21750,22553797,12
2345471,22553797,6
2263673,22553797,6
4353913,22553797,6
411678,22553797,5
8611472,22553797,4
11187023,22553797,4
4026828,22553797,4
13987821,22553797,4
4873640,22553797,3
1101677,22553797,3
67554,22553797,3
470578,22553797,3
1044465,22553797,2
7493966,22553797,2
1638136,22553797,2
72777,22553797,2
1972717,22553797,2
105144,22553797,2
1369015,22553797,2
701298,22553797,2
170745,5724990,536
513603,5724990,216
5966783,5724990,30
2829600,5724990,16
1321596,5724990,14
2496835,5724990,14
9111083,5724990,12
605483,5724990,8
598744,5724990,8
9828591,5724990,8
4118513,5724990,7
2102973,5724990,6
1118410,5724990,6
166810,5724990,5
181531,5724990,5
17919016,5724990,4
1669566,5724990,4
1596394,5724990,4
5840038,5724990,4
3267115,5724990,4
6746241,5724990,4
21636,5724990,3
2419213,5724990,3
57423,5724990,3
1281731,5724990,3
1961634,5724990,3
1420569,5724990,3
6329543,5724990,2
5478485,5724990,2
973269,5724990,2
1392869,14732311,2526
481606,14732311,316
1851314,14732311,51
2959112,14732311,50
334808,14732311,44
3843377,14732311,35
2243967,14732311,34
7034281,14732311,24
7980426,14732311,18
4445087,14732311,16
1521802,14732311,15
374917,14732311,14
8117368,14732311,11
5142298,14732311,10
6786740,14732311,10
6774277,14732311,9
704594,14732311,9
2057062,14732311,9
