"source","target","weight"
1073082,4086616,1
2119748,5362524,132
2119742,5362524,98
3948810,5362524,17
2049645,5362524,14
56674,5362524,6
62913,5362524,4
45450,5362524,3
137158,5362524,3
14053068,5362524,2
386563,5362524,1
1015742,5362524,1
129536,5362524,1
807291,5362524,1
990,5362524,1
4249591,37829238,858
6348321,37829238,27
3703530,37829238,7
173595,37829238,5
2500900,37829238,3
3112309,37829238,1
249404,37829238,1
3315662,37829238,1
193792,37829238,1
1308419,37829238,1
1114542,33614304,716
3751788,33614304,125
2112697,33614304,86
6473925,33614304,33
142099,33614304,14
8980971,33614304,14
7943223,33614304,11
557307,33614304,7
3875617,33614304,6
51421,33614304,5
907063,33614304,5
8631959,33614304,5
2975360,33614304,5
10091584,33614304,4
6194619,33614304,3
1006477,33614304,3
2123375,33614304,3
2334599,33614304,3
11584995,33614304,3
2646487,33614304,3
7422656,33614304,3
1734093,33614304,3
544572,33614304,2
10195800,33614304,2
625512,33614304,2
352979,33614304,2
2719629,33614304,2
3267517,33614304,2
1697911,33614304,2
74385,33614304,2
20667461,51117837,27
577277,51117837,25
684901,51117837,25
2887803,51117837,25
1766524,51117837,16
2459479,51117837,13
8835830,51117837,9
15792374,51117837,7
20959853,51117837,6
12239154,51117837,6
931393,51117837,4
10173483,51117837,4
21178140,51117837,4
5421441,51117837,3
93609,51117837,3
79994,51117837,3
463737,51117837,3
192142,51117837,3
1241240,51117837,3
4902977,51117837,2
2854222,51117837,2
326106,51117837,2
16018,51117837,2
3111301,51117837,2
8942,51117837,2
4818573,51117837,2
802922,51117837,2
13385191,51117837,2
49262,51117837,2
2776098,51117837,2
326885,3544424,775
305268,3544424,12
424045,3544424,6
811907,3544424,5
203572,3544424,5
76110,3544424,4
22268,3544424,4
416575,3544424,4
2420688,3544424,4
59870,3544424,4
419615,3544424,4
10342494,3544424,3
292468,3544424,2
65053,3544424,2
636865,3544424,2
929353,3544424,2
17989117,3544424,2
74533,3544424,1
2456311,3544424,1
67073,3544424,1
966877,3544424,1
475100,3544424,1
157998,3544424,1
58074,3544424,1
541637,3544424,1
909587,3544424,1
4114498,3544424,1
153008,3544424,1
216188,3544424,1
2065819,3544424,1
1304661,4578002,92
10199742,4578002,41
2004604,4578002,20
39889,4578002,19
4745181,4578002,10
108972,4578002,9
5268051,4578002,5
6203062,4578002,5
9791225,4578002,5
2752802,4578002,4
5875315,4578002,4
3653345,4578002,4
156504,4578002,4
8177650,4578002,4
4410397,4578002,3
6747643,4578002,3
777520,4578002,3
3119572,4578002,3
1118784,4578002,3
848682,4578002,3
1730350,4578002,3
970095,4578002,3
6199480,4578002,2
2313732,4578002,2
3135138,4578002,2
15933176,4578002,2
1144995,4578002,2
4338636,4578002,2
1934268,4578002,2
20253063,4578002,2
2179708,40416236,85
836194,40416236,9
1302542,40416236,4
8963710,40416236,4
458065,40416236,4
383722,40416236,2
11228808,40416236,2
507927,40416236,2
133747,40416236,2
947523,40416236,2
1381258,40416236,2
7855189,40416236,2
79241,40416236,2
6033889,40416236,2
572196,40416236,2
2766601,40416236,2
3419606,40416236,2
2195868,40416236,2
1189137,40416236,1
3614676,40416236,1
1054222,40416236,1
6847633,40416236,1
109415,40416236,1
3073072,40416236,1
1889843,40416236,1
529003,40416236,1
5571151,40416236,1
201930,40416236,1
2885842,40416236,1
1476737,40416236,1
10395528,29290473,862
13328328,29290473,79
1769875,29290473,65
9296576,29290473,57
1730504,29290473,34
6830787,29290473,29
3082401,29290473,27
15167081,29290473,19
13990565,29290473,18
9264222,29290473,10
12442896,29290473,9
17879520,29290473,6
5843694,29290473,6
4210529,29290473,5
6326116,29290473,5
7846153,29290473,4
6016980,29290473,4
3203220,29290473,4
12182586,29290473,3
3961388,29290473,3
15956627,29290473,2
5125392,29290473,2
7987471,29290473,2
7660045,29290473,1
4230959,29290473,1
5293796,29290473,1
433075,29290473,1
15367484,29290473,1
12526599,29290473,1
10058007,29290473,1
12475110,41654081,207
5954335,41654081,8
15073177,41654081,7
6630421,41654081,5
6758424,41654081,4
5545603,41654081,4
611354,41654081,2
7227529,41654081,2
9014703,41654081,2
4273812,41654081,1
3112309,41654081,1
1325282,41654081,1
775600,41654081,1
46565,41654081,1
38447,41654081,1
937917,41654081,1
7801391,41654081,1
1197727,41654081,1
5420909,41654081,1
1584417,41654081,1
166738,41654081,1
152567,41654081,1
511499,41654081,1
978340,41654081,1
1055529,41654081,1
829526,41654081,1
421352,41654081,1
797193,41654081,1
4871664,41654081,1
6005346,41654081,1
185212,529502,2147
37369,529502,990
148100,529502,423
107893,529502,397
886296,529502,287
25639,529502,250
213781,529502,209
37565,529502,166
424613,529502,112
26015,529502,52
438293,529502,42
1042865,529502,42
93686,529502,32
215764,529502,29
2230180,529502,29
91022,529502,27
1170435,529502,25
2700942,529502,23
10531844,529502,22
5346,529502,19
283623,529502,19
204645,529502,17
342426,529502,15
5539176,529502,15
4417580,529502,14
220454,529502,14
744331,529502,13
370942,529502,12
1006477,529502,11
298627,529502,11
11031650,41058054,252
1525116,41058054,151
9937771,41058054,142
1801526,41058054,103
10933044,41058054,53
51143,41058054,21
2275240,41058054,20
12496525,41058054,19
12462303,41058054,17
540554,41058054,12
14928543,41058054,12
6290785,41058054,11
10985489,41058054,10
12843204,41058054,7
9330739,41058054,7
148275,41058054,6
1337204,41058054,5
6809385,41058054,5
1592734,41058054,5
199499,41058054,5
4143617,41058054,5
1833563,41058054,4
1193082,41058054,3
6664134,41058054,3
39654,41058054,3
2159447,41058054,3
4325333,41058054,3
4624768,41058054,3
21071787,41058054,3
301788,41058054,3
246302,21872392,288
1219780,21872392,16
4917183,21872392,11
2340086,21872392,8
3989198,21872392,7
4073698,21872392,6
10507098,21872392,5
2282364,21872392,5
2907085,21872392,4
10055668,21872392,4
10862289,21872392,4
5764666,21872392,3
17307,21872392,3
200733,21872392,3
2441454,21872392,3
637285,21872392,3
7584492,21872392,3
352189,21872392,3
1310570,21872392,3
990494,21872392,3
50891,21872392,3
1320475,21872392,3
4342858,21872392,2
11576063,21872392,2
5365982,21872392,2
3401801,21872392,2
444084,21872392,2
1331905,21872392,2
1086421,21872392,2
98695,21872392,2
833317,26554,1700
338853,26554,926
16893,26554,904
9033,26554,489
2260961,26554,434
849933,26554,377
714162,26554,306
100474,26554,192
823747,26554,190
