"source","target","weight"
903327,1653882,298
111194,1653882,51
257678,1653882,18
223180,1653882,6
4912,1653882,6
4550,1653882,6
1576290,1653882,5
952783,1653882,5
225,1653882,5
617989,1653882,5
2489247,1653882,5
1880526,1653882,5
105694,1653882,4
1231909,1653882,4
1889710,1653882,4
5958957,1653882,4
1581276,1653882,3
17579,1653882,3
1530865,1653882,3
378585,1653882,2
558455,1653882,2
1839,1653882,2
2317604,1653882,2
382099,1653882,2
253634,1653882,2
47458,1653882,2
2381,1653882,2
1479130,1653882,2
320066,1653882,2
189693,1653882,2
16700,538746,13617
10538,538746,4711
13423,538746,2408
17790,538746,1920
9558,538746,1860
4447,538746,1414
9831,538746,796
11857,538746,786
10236,538746,737
12301,538746,653
82712,538746,625
21557,538746,566
34552,538746,521
277819,538746,518
3124,538746,398
33770,538746,392
27350,538746,305
8161,538746,294
3959,538746,265
44209,538746,247
21976,538746,245
15377,538746,151
32117,538746,147
486012,538746,129
18746,538746,121
29440,538746,95
305451,538746,93
37002,538746,90
179065,538746,89
168854,538746,89
17579,13840241,1633
2117313,13840241,8
1250185,13840241,7
1426824,13840241,5
6307088,13840241,4
1859598,13840241,4
1035167,13840241,3
306253,13840241,3
324670,13840241,3
297578,13840241,2
4647136,13840241,2
12337100,13840241,2
5305459,13840241,2
1674647,13840241,1
150352,13840241,1
4550353,13840241,1
1045603,13840241,1
1222972,13840241,1
544229,13840241,1
1335366,13840241,1
5896293,13840241,1
3067335,13840241,1
83483,13840241,1
397413,13840241,1
974762,13840241,1
1995580,13840241,1
1395360,13840241,1
2248473,13840241,1
3858785,13840241,1
760204,13840241,1
23558090,21600440,111
864213,21600440,38
7226907,21600440,14
2096101,21600440,9
8289691,21600440,7
4420468,21600440,3
3375461,21600440,3
910753,21600440,3
2561942,21600440,3
969983,21600440,2
126636,21600440,2
389236,21600440,2
4047597,21600440,2
1752436,21600440,2
6282557,21600440,2
8463904,21600440,2
938453,21600440,2
175809,21600440,2
1033299,21600440,2
77602,21600440,2
170270,21600440,2
679178,21600440,2
484656,21600440,2
4664280,21600440,2
2016091,21600440,2
7338799,21600440,2
25312,21600440,1
3449303,21600440,1
8056274,21600440,1
2448125,21600440,1
216339,2336578,543
197928,2336578,196
89588,2336578,51
11115,2336578,47
419884,2336578,26
579300,2336578,4
17056,2336578,4
780935,2336578,3
23553,2336578,3
203423,2336578,3
1903777,2336578,3
26794,2336578,2
457834,2336578,2
1472285,2336578,2
47848,2336578,2
2052398,2336578,2
55158,2336578,2
879768,2336578,2
3800237,2336578,2
953092,2336578,1
238342,2336578,1
827224,2336578,1
94782,2336578,1
1477925,2336578,1
1131991,2336578,1
1060,2336578,1
88676,2336578,1
3390330,2336578,1
68158,2336578,1
11086,2336578,1
83835,8681349,888
10236,8681349,586
20943,8681349,391
1547934,8681349,82
382862,8681349,49
365751,8681349,38
1844764,8681349,38
753891,8681349,34
429490,8681349,33
2570363,8681349,29
374635,8681349,28
4156602,8681349,26
163532,8681349,21
113293,8681349,17
148768,8681349,15
6728841,8681349,14
5382,8681349,13
1342542,8681349,13
612578,8681349,12
3276355,8681349,11
7178130,8681349,10
462848,8681349,10
3255038,8681349,9
1886014,8681349,8
1022918,8681349,8
5695552,8681349,8
1005167,8681349,7
202380,8681349,6
10268864,8681349,6
25222,8681349,6
188,929845,4971
1839,929845,706
15688,929845,44
887,929845,28
3124,929845,16
4335783,929845,15
56810,929845,11
16556,929845,8
34205,929845,7
85783,929845,7
2567,929845,6
59470,929845,6
137,929845,6
103167,929845,5
7405,929845,4
78,929845,4
122,929845,4
5042,929845,4
311914,929845,4
2486142,929845,4
4609,929845,4
7389,929845,3
269,929845,3
22614,929845,3
141,929845,3
579928,929845,3
53273,929845,3
6808,929845,2
755,929845,2
776,929845,2
134,361310,1054
16556,361310,567
524783,361310,143
1497867,361310,37
22067,361310,16
27350,361310,15
144658,361310,11
11493,361310,9
2053,361310,8
19233,361310,8
4292,361310,8
1000,361310,7
159434,361310,7
1979,361310,7
4312,361310,7
456459,361310,7
7776,361310,6
26460,361310,6
290782,361310,6
193,361310,5
29814,361310,5
191521,361310,5
8506,361310,5
200500,361310,5
41963,361310,5
41839,361310,5
2560,361310,4
193874,361310,4
1268,361310,4
43621,361310,4
131818,1217404,1246
1186534,1217404,69
629631,1217404,54
5728164,1217404,30
1761140,1217404,20
356719,1217404,18
2567,1217404,17
91418,1217404,17
1311477,1217404,15
2071575,1217404,10
235666,1217404,9
431237,1217404,9
928621,1217404,8
49472,1217404,8
279077,1217404,8
52858,1217404,7
140642,1217404,7
9326007,1217404,7
98142,1217404,6
9363016,1217404,6
638,1217404,6
46573,1217404,6
362064,1217404,5
119358,1217404,5
374579,1217404,5
599292,1217404,5
