"source","target","weight"
698982,51648174,60
16093840,51648174,3
893050,51648174,2
1510976,51648174,2
12122641,51648174,2
3092978,51648174,1
699422,51648174,1
2721998,51648174,1
6071211,51648174,1
9305723,51648174,1
435208,32262438,6304
1156192,32262438,936
13350131,32262438,32
5436953,32262438,6
830358,32262438,2
3112309,32262438,1
1095516,32262438,1
1059327,32262438,1
226778,32262438,1
829526,32262438,1
1941540,32262438,1
15367484,32262438,1
13876667,32262438,1
967800,44998092,100
125896,44998092,3
969983,44998092,1
14041226,44998092,1
3658887,44998092,1
99752,44998092,1
499192,44998092,1
11500057,44998092,1
1681525,44998092,1
4318,20430314,29
719492,20430314,9
1131944,20430314,3
529,20430314,2
4326436,20430314,2
10562759,20430314,2
92120,20430314,1
186187,20430314,1
49925,20430314,1
4956929,20430314,1
13876667,20430314,1
8337428,20430314,1
1516462,20430314,1
219689,21190654,119
2915410,21190654,1
205064,21190654,1
1681360,21190654,1
2393781,21190654,1
651581,21190654,1
727159,21190654,1
214288,20541795,342
598870,20541795,7
118588,20541795,7
114396,20541795,6
184510,20541795,6
1088217,20541795,4
169110,20541795,4
931655,20541795,3
27570,20541795,2
1776969,20541795,2
11719866,20541795,2
232113,20541795,2
504401,20541795,2
8175496,20541795,2
284197,20541795,2
1780156,20541795,2
1270272,20541795,2
13481500,20541795,2
12476080,20541795,2
2682492,20541795,1
664238,20541795,1
3107407,20541795,1
869753,20541795,1
481245,20541795,1
2152528,20541795,1
319439,20541795,1
5944973,20541795,1
1152968,20541795,1
2882739,20541795,1
884733,20541795,1
373016,20822291,433
7478427,20822291,10
17595567,20822291,5
13653700,20822291,4
4694896,20822291,4
1563329,20822291,4
15367484,20822291,3
16464148,20822291,2
1171605,20822291,1
1147941,20822291,1
372983,20822291,1
2769724,20822291,1
874744,20822291,1
10152572,20822291,1
495892,20822291,1
4126434,20822291,1
7483751,20822291,1
3256708,20822291,1
13082357,20822291,1
2572987,20822291,1
573856,46383222,962
1402212,46383222,400
7086952,46383222,50
219689,46383222,22
4633817,46383222,15
9830761,46383222,13
14007152,46383222,9
10130578,46383222,5
7896,46383222,4
711216,46383222,4
316931,46383222,3
700665,46383222,2
1649419,46383222,2
2587018,46383222,1
23498,46383222,1
1391,46383222,1
1777691,46383222,1
812487,46383222,1
495892,46383222,1
6360306,46383222,1
12764744,46383222,1
464574,46383222,1
1019875,33486016,765
5518285,33486016,9
1203920,33486016,8
11654230,33486016,6
308592,33486016,6
7991360,33486016,6
447106,33486016,5
106105,33486016,5
2393781,33486016,5
385456,33486016,4
5282467,33486016,4
23364040,33486016,3
3286605,33486016,3
2881736,33486016,3
435208,33486016,3
629993,33486016,3
205317,33486016,2
9143914,33486016,2
5842525,33486016,2
191970,33486016,2
2964502,33486016,2
24727,33486016,2
785492,33486016,2
219689,33486016,2
1253817,33486016,2
213683,33486016,2
851640,33486016,1
1767823,33486016,1
2549967,33486016,1
6042,33486016,1
3382607,21796955,57
829783,21796955,4
2466729,21796955,3
147971,21796955,3
2303177,21796955,3
82028,21796955,2
59080,21796955,2
2187641,21796955,2
2842712,21796955,2
8616373,21796955,2
626713,21796955,2
4429361,21796955,2
5728162,21796955,1
2017615,21796955,1
4566071,21796955,1
4926721,21796955,1
288030,21796955,1
1733610,21796955,1
5435782,26481815,144
20534205,26481815,34
2492487,26481815,17
2778007,26481815,6
8984754,26481815,4
8424432,26481815,3
1988660,26481815,3
431974,26481815,2
209344,26481815,2
7448756,26481815,2
872907,26481815,2
2286277,26481815,2
5857998,26481815,1
32922,26481815,1
867471,26481815,1
3819883,26481815,1
73706,26481815,1
3958226,26481815,1
1574280,26481815,1
5968478,26481815,1
512353,26481815,1
9210198,26481815,1
4023136,26481815,1
6705398,26481815,1
9154932,26481815,1
2645460,26481815,1
7609745,26481815,1
5304430,26481815,1
1755579,43568832,565
15658395,43568832,42
3789179,43568832,27
7554889,43568832,15
4372861,43568832,9
898064,43568832,7
1067678,43568832,6
2954549,43568832,6
5382501,43568832,4
1594899,43568832,4
11737352,43568832,3
317766,43568832,3
1031749,43568832,3
22161723,43568832,2
529248,43568832,2
413986,43568832,1
1310775,43568832,1
70195,43568832,1
551543,43568832,1
153008,43568832,1
2114494,43568832,1
5767866,43568832,1
3218401,43568832,1
398942,43568832,1
1928349,43568832,1
7324708,43568832,1
1839880,43568832,1
8518239,43568832,1
3156703,43568832,1
1694177,43568832,1
366926,32578467,966
296718,32578467,101
4375169,32578467,58
6759734,32578467,15
5277837,32578467,7
6587734,32578467,5
3982355,32578467,3
933201,32578467,3
181337,32578467,3
4441669,32578467,3
2921976,32578467,2
2855862,32578467,2
350423,32578467,2
14872778,32578467,2
10637420,32578467,2
9119485,32578467,2
190727,32578467,2
