"Id","Label","size","fork","forks","stars","issues","owner","language","created","updated","type"
571770,"jgm/pandoc",23327,false,975,7643,445,"User","Haskell","2010-03-20T20:34:23Z","2016-12-14T08:15:37Z","repo"
20787122,"begriffs/postgrest",19884,false,321,7593,92,"User","Haskell","2014-06-13T00:23:00Z","2016-12-14T07:39:33Z","repo"
6731432,"koalaman/shellcheck",2749,false,292,5301,217,"User","Haskell","2012-11-17T03:15:11Z","2016-12-14T08:49:12Z","repo"
4072305,"elm-lang/elm-compiler",9930,false,274,3481,50,"Organization","Haskell","2012-04-19T06:24:43Z","2016-12-13T10:48:44Z","repo"
13206906,"purescript/purescript",11120,false,259,3097,156,"Organization","Haskell","2013-09-30T05:29:23Z","2016-12-14T05:36:11Z","repo"
18379853,"facebook/Haxl",308,false,219,2481,4,"Organization","Haskell","2014-04-02T20:10:58Z","2016-12-10T17:29:28Z","repo"
30597615,"caiorss/Functional-Programming",8201,false,103,2060,1,"User","Haskell","2015-02-10T15:07:42Z","2016-12-14T07:46:54Z","repo"
34817922,"commercialhaskell/stack",9431,false,340,2004,526,"Organization","Haskell","2015-04-29T20:56:42Z","2016-12-13T15:55:19Z","repo"
237904,"yesodweb/yesod",9489,false,278,1599,86,"Organization","Haskell","2009-06-27T22:54:51Z","2016-12-12T21:00:02Z","repo"
28814210,"sdiehl/write-you-a-haskell",1069,false,115,1504,11,"User","Haskell","2015-01-05T13:44:54Z","2016-12-13T12:41:03Z","repo"
849182,"ghcjs/ghcjs",5310,false,111,1482,169,"Organization","Haskell","2010-08-19T16:32:40Z","2016-12-12T05:25:38Z","repo"
2386778,"idris-lang/Idris-dev",32098,false,392,1449,422,"Organization","Haskell","2011-09-14T16:55:49Z","2016-12-13T22:52:41Z","repo"
392759,"jaspervdj/hakyll",18916,false,247,1426,41,"User","Haskell","2009-12-02T12:45:28Z","2016-12-13T06:11:15Z","repo"
12373318,"gibiansky/IHaskell",5988,false,147,1394,56,"User","Haskell","2013-08-26T07:16:09Z","2016-12-13T16:14:35Z","repo"
3271130,"joeyh/github-backup",673,false,73,1301,22,"User","Haskell","2012-01-26T04:01:37Z","2016-12-13T18:34:53Z","repo"
72706,"jgm/gitit",5772,false,159,1266,176,"User","Haskell","2008-11-07T07:38:49Z","2016-12-14T09:03:42Z","repo"
1560597,"ghc/ghc",172150,false,361,1266,0,"Organization","Haskell","2011-04-02T19:39:34Z","2016-12-12T20:30:18Z","repo"
1745807,"joeyh/git-annex",50573,false,95,1223,0,"User","Haskell","2011-05-13T23:11:08Z","2016-12-13T21:01:14Z","repo"
58161011,"jameysharp/corrode",731,false,58,1212,32,"User","Haskell","2016-05-05T21:12:52Z","2016-12-14T08:22:14Z","repo"
2616288,"lamdu/lamdu",16412,false,49,1163,10,"Organization","Haskell","2011-10-20T21:13:43Z","2016-12-13T11:28:02Z","repo"
3272927,"valderman/haste-compiler",4781,false,99,1144,49,"User","Haskell","2012-01-26T10:23:30Z","2016-12-11T21:44:51Z","repo"
5089764,"mikeizbicki/HLearn",17533,false,109,1121,20,"User","Haskell","2012-07-18T00:08:33Z","2016-12-13T15:33:30Z","repo"
5134592,"faylang/fay",2775,false,84,1108,14,"Organization","Haskell","2012-07-21T15:26:38Z","2016-12-13T21:09:56Z","repo"
1335542,"yi-editor/yi",36774,false,153,992,159,"Organization","Haskell","2011-02-06T21:16:54Z","2016-12-13T14:01:13Z","repo"
3077100,"scotty-web/scotty",613,false,106,972,43,"Organization","Haskell","2011-12-30T22:43:27Z","2016-12-13T15:32:04Z","repo"
5185084,"ekmett/lens",27105,false,159,941,55,"User","Haskell","2012-07-25T22:00:42Z","2016-12-13T21:37:54Z","repo"
18277389,"sdiehl/wiwinwlh",4338,false,140,884,3,"User","Haskell","2014-03-31T00:33:36Z","2016-12-13T21:37:59Z","repo"
638566,"olivierverdier/zsh-git-prompt",1105,false,198,872,26,"User","Haskell","2010-04-29T18:05:24Z","2016-12-14T08:45:02Z","repo"
45027656,"oden-lang/oden",33270,false,24,767,15,"Organization","Haskell","2015-10-27T08:42:36Z","2016-12-04T19:56:17Z","repo"
3871325,"GaloisInc/HaLVM",4112,false,62,767,31,"Organization","Haskell","2012-03-29T22:39:16Z","2016-12-12T02:54:40Z","repo"
48899,"Peaker",,,,,,,,,,"user"
97606,"yairchu",,,,,,,,,,"user"
2150990,"rvion",,,,,,,,,,"user"
321273,"da-x",,,,,,,,,,"user"
284023,"ysangkok",,,,,,,,,,"user"
1847577,"pthariensflame",,,,,,,,,,"user"
6411699,"faineance",,,,,,,,,,"user"
32407,"jedahan",,,,,,,,,,"user"
84020,"sinelaw",,,,,,,,,,"user"
8518239,"gitter-badger",,,,,,,,,,"user"
