"Id","Label","size","fork","forks","stars","issues","owner","language","created","updated","type"
507775,"elastic/elasticsearch",297204,false,6799,19780,1192,"Organization","Java","2010-02-08T13:20:56Z","2016-12-14T08:48:04Z","repo"
7508411,"ReactiveX/RxJava",49906,false,3470,19653,52,"Organization","Java","2013-01-08T20:11:48Z","2016-12-14T08:49:12Z","repo"
892275,"square/retrofit",60431,false,3656,17587,55,"Organization","Java","2010-09-06T21:39:43Z","2016-12-14T08:48:59Z","repo"
5152285,"square/okhttp",15244,false,4168,16190,84,"Organization","Java","2012-07-23T13:42:55Z","2016-12-14T09:02:41Z","repo"
22790488,"iluwatar/java-design-patterns",13478,false,5328,15827,158,"User","Java","2014-08-09T16:45:18Z","2016-12-14T08:17:40Z","repo"
2862290,"nostra13/Android-Universal-Image-Loader",25335,false,6326,14582,412,"User","Java","2011-11-27T18:48:23Z","2016-12-14T08:28:22Z","repo"
8575137,"JakeWharton/butterknife",4245,false,2918,13398,66,"User","Java","2013-03-05T08:18:59Z","2016-12-14T07:36:14Z","repo"
20300177,"google/guava",136040,false,3206,13294,725,"Organization","Java","2014-05-29T16:23:17Z","2016-12-14T07:51:23Z","repo"
19148949,"PhilJay/MPAndroidChart",22586,false,4017,12888,370,"User","Java","2014-04-25T14:29:47Z","2016-12-14T06:07:34Z","repo"
34824499,"square/leakcanary",27193,false,2183,12591,65,"Organization","Java","2015-04-29T23:54:16Z","2016-12-14T08:56:03Z","repo"
5070389,"greenrobot/EventBus",2206,false,3295,12513,72,"User","Java","2012-07-16T16:55:40Z","2016-12-14T08:23:13Z","repo"
22374063,"futurice/android-best-practices",685,false,2397,12480,21,"Organization","Java","2014-07-29T09:09:44Z","2016-12-14T06:38:55Z","repo"
18347476,"google/iosched",49635,false,4763,12430,45,"Organization","Java","2014-04-01T22:40:40Z","2016-12-14T08:54:49Z","repo"
11267509,"bumptech/glide",26204,false,2602,12267,235,"Organization","Java","2013-07-08T22:52:33Z","2016-12-14T09:03:46Z","repo"
10057936,"square/picasso",13692,false,3331,12181,194,"Organization","Java","2013-05-14T15:07:47Z","2016-12-14T08:28:25Z","repo"
1148753,"spring-projects/spring-framework",94104,false,9042,11459,139,"Organization","Java","2010-12-08T04:04:45Z","2016-12-14T08:22:44Z","repo"
