"Id","Label","size","fork","forks","stars","issues","owner","language","created","updated","type"
10070738,"google/lisp-koans",142,false,334,1575,14,"Organization","Common Lisp","2013-05-15T04:07:12Z","2016-12-13T08:21:56Z","repo"
29929783,"froggey/Mezzano",13319,false,73,1041,22,"User","Common Lisp","2015-01-27T19:01:39Z","2016-12-11T05:16:12Z","repo"
594087,"dimitri/pgloader",19728,false,136,871,44,"User","Common Lisp","2010-04-04T11:10:22Z","2016-12-13T18:27:16Z","repo"
4216967,"stumpwm/stumpwm",5056,false,123,745,23,"Organization","Common Lisp","2012-05-03T18:00:56Z","2016-12-13T06:07:08Z","repo"
15344025,"slime/slime",16213,false,159,689,136,"Organization","Common Lisp","2013-12-20T17:16:38Z","2016-12-11T01:14:20Z","repo"
1890957,"sbcl/sbcl",51392,false,141,645,4,"Organization","Common Lisp","2011-06-13T20:33:25Z","2016-12-09T05:12:08Z","repo"
16112664,"cl21/cl21",415,false,27,594,56,"Organization","Common Lisp","2014-01-21T18:05:19Z","2016-12-06T10:49:36Z","repo"
45371258,"vydd/sketch",1280,false,26,589,5,"User","Common Lisp","2015-11-02T03:59:35Z","2016-12-11T07:47:39Z","repo"
1244792,"fukamachi/clack",1858,false,61,573,22,"User","Common Lisp","2011-01-12T09:24:58Z","2016-12-11T11:39:21Z","repo"
25205462,"fukamachi/woo",1803,false,31,476,6,"User","Common Lisp","2014-10-14T12:30:03Z","2016-12-14T01:15:55Z","repo"
441286,"damelang/nile",49460,false,26,473,3,"User","Common Lisp","2009-12-18T01:58:45Z","2016-12-10T15:01:23Z","repo"
19028064,"eudoxia0/cmacro",632,false,22,457,3,"User","Common Lisp","2014-04-22T12:03:25Z","2016-11-27T09:35:57Z","repo"
5719635,"eudoxia0/corvus",5984,false,21,434,1,"User","Common Lisp","2012-09-07T16:52:07Z","2016-11-14T16:09:51Z","repo"
22390043,"roswell/roswell",2062,false,41,415,33,"Organization","Common Lisp","2014-07-29T18:07:03Z","2016-12-13T11:20:39Z","repo"
16252635,"whily/yalo",332,false,23,406,1,"User","Common Lisp","2014-01-26T12:21:56Z","2016-12-12T20:42:59Z","repo"
20591124,"shinh/sedlisp",15,false,11,399,0,"User","Common Lisp","2014-06-07T10:58:01Z","2016-12-06T10:46:48Z","repo"
1414042,"fukamachi/caveman",923,false,46,392,34,"User","Common Lisp","2011-02-26T07:50:03Z","2016-12-12T13:11:55Z","repo"
