"Id","Label","size","fork","forks","stars","issues","owner","language","created","updated","type"
1863329,"laravel/laravel",25319,false,9213,27760,27,"Organization","PHP","2011-06-08T03:06:08Z","2016-12-14T09:03:21Z","repo"
2234102,"bcit-ci/CodeIgniter",93743,false,6598,13490,82,"Organization","PHP","2011-08-19T13:34:00Z","2016-12-14T07:57:41Z","repo"
458058,"symfony/symfony",81149,false,5219,13435,844,"Organization","PHP","2010-01-04T14:21:21Z","2016-12-14T09:01:25Z","repo"
2246815,"domnikl/DesignPatternsPHP",5166,false,2395,11263,5,"User","PHP","2011-08-22T05:24:31Z","2016-12-14T07:57:45Z","repo"
2579314,"fzaninotto/Faker",11661,false,1535,9848,60,"User","PHP","2011-10-14T22:49:02Z","2016-12-14T07:57:50Z","repo"
3431193,"yiisoft/yii2",42217,false,5351,9274,720,"Organization","PHP","2012-02-13T15:32:36Z","2016-12-14T07:57:52Z","repo"
1864363,"composer/composer",23525,false,2382,8551,201,"Organization","PHP","2011-06-08T08:53:00Z","2016-12-14T07:57:55Z","repo"
2889328,"WordPress/WordPress",167953,false,4366,8401,23,"Organization","PHP","2011-12-01T07:05:17Z","2016-12-14T08:19:22Z","repo"
1420053,"guzzle/guzzle",8406,false,1274,8153,75,"Organization","PHP","2011-02-28T02:44:05Z","2016-12-14T07:58:01Z","repo"
1280180,"phacility/phabricator",122303,false,1089,7895,0,"Organization","PHP","2011-01-21T22:08:29Z","2016-12-14T07:57:26Z","repo"
2253830,"PHPMailer/PHPMailer",5179,false,4350,7593,57,"Organization","PHP","2011-08-23T07:57:17Z","2016-12-14T09:06:54Z","repo"
2854337,"phalcon/cphalcon",120941,false,1411,7466,754,"User","PHP","2011-11-26T05:52:50Z","2016-12-14T07:31:08Z","repo"
926544,"slimphp/Slim",9414,false,1464,7443,98,"Organization","PHP","2010-09-21T01:17:06Z","2016-12-14T07:36:09Z","repo"
4702560,"PHPOffice/PHPExcel",26672,false,2472,7327,561,"Organization","PHP","2012-06-18T15:30:27Z","2016-12-14T07:58:05Z","repo"
656494,"cakephp/cakephp",67513,false,3089,6829,183,"Organization","PHP","2010-05-08T14:38:22Z","2016-12-14T07:59:42Z","repo"
47495360,"phanan/koel",3894,false,618,6749,22,"User","PHP","2015-12-06T12:13:19Z","2016-12-14T08:19:16Z","repo"
5627682,"serbanghita/Mobile-Detect",4383,false,1777,6515,149,"User","PHP","2012-08-31T10:58:16Z","2016-12-14T01:48:03Z","repo"
1548202,"piwik/piwik",167003,false,1127,6425,1375,"Organization","PHP","2011-03-30T21:18:17Z","2016-12-13T21:51:29Z","repo"
7548986,"laravel/framework",26094,false,3799,6326,90,"Organization","PHP","2013-01-10T21:27:28Z","2016-12-14T09:03:08Z","repo"
448045,"sebastianbergmann/phpunit",19865,false,1324,5636,160,"User","PHP","2009-12-24T13:16:23Z","2016-12-14T03:41:15Z","repo"
22553797,"getgrav/grav",10036,false,475,5609,88,"Organization","PHP","2014-08-02T18:29:10Z","2016-12-14T08:52:31Z","repo"
