"Id","Label","size","fork","forks","stars","issues","owner","language","created","updated","type"
45717250,"tensorflow/tensorflow",77947,false,18546,40084,750,"Organization","Python","2015-11-07T01:19:20Z","2016-12-14T09:05:30Z","repo"
3544424,"jkbrzt/httpie",4055,false,1750,27253,85,"User","Python","2012-02-25T12:39:13Z","2016-12-14T08:42:40Z","repo"
21289110,"vinta/awesome-python",2936,false,5171,27075,314,"User","Python","2014-06-27T21:00:06Z","2016-12-14T08:15:14Z","repo"
596892,"pallets/flask",12480,false,7651,24069,149,"Organization","Python","2010-04-06T11:11:59Z","2016-12-14T08:16:03Z","repo"
33614304,"nvbn/thefuck",2367,false,1105,23007,115,"User","Python","2015-04-08T15:08:04Z","2016-12-14T08:07:33Z","repo"
4164482,"django/django",155008,false,9142,22588,117,"Organization","Python","2012-04-28T02:47:18Z","2016-12-14T08:29:55Z","repo"
1362490,"kennethreitz/requests",12975,false,3996,22263,88,"User","Python","2011-02-13T18:38:17Z","2016-12-14T09:04:04Z","repo"
1039520,"rg3/youtube-dl",42894,false,4248,22109,1567,"User","Python","2010-10-31T14:35:07Z","2016-12-14T08:50:48Z","repo"
3638964,"ansible/ansible",61723,false,6290,20217,1936,"Organization","Python","2012-03-06T14:58:02Z","2016-12-14T08:18:58Z","repo"
21872392,"josephmisiti/awesome-machine-learning",1104,false,4403,18204,3,"User","Python","2014-07-15T19:11:19Z","2016-12-14T09:06:59Z","repo"
529502,"scrapy/scrapy",52112,false,4787,17347,466,"Organization","Python","2010-02-22T02:01:14Z","2016-12-14T09:06:40Z","repo"
26516210,"certbot/certbot",12244,false,1439,17013,735,"Organization","Python","2014-11-12T02:52:20Z","2016-12-14T04:37:04Z","repo"
4086616,"shadowsocks/shadowsocks",1887,false,9642,15495,63,"Organization","Python","2012-04-20T13:10:49Z","2016-12-14T07:47:31Z","repo"
843222,"scikit-learn/scikit-learn",78518,false,8602,15311,1160,"Organization","Python","2010-08-17T09:43:38Z","2016-12-14T08:25:23Z","repo"
301742,"tornadoweb/tornado",6736,false,3824,12617,188,"Organization","Python","2009-09-09T04:55:16Z","2016-12-14T05:51:11Z","repo"
