"Id","Label","size","fork","forks","stars","issues","owner","language","created","updated","type"
8514,"rails/rails",140876,false,13736,33735,1225,"Organization","Ruby","2008-04-11T02:19:47Z","2016-12-14T07:08:38Z","repo"
206084,"Homebrew/legacy-homebrew",1432774,false,13935,29419,0,"Organization","Ruby","2009-05-20T19:38:37Z","2016-12-14T01:43:00Z","repo"
65252,"jekyll/jekyll",11723,false,6179,27878,130,"Organization","Ruby","2008-10-20T06:29:03Z","2016-12-14T06:23:11Z","repo"
7569578,"discourse/discourse",151020,false,5301,20022,11,"Organization","Ruby","2013-01-12T00:25:55Z","2016-12-14T07:29:25Z","repo"
2500088,"gitlabhq/gitlabhq",243582,false,5120,18797,0,"Organization","Ruby","2011-10-02T16:25:27Z","2016-12-14T08:32:51Z","repo"
21600440,"bayandin/awesome-awesomeness",415,false,2224,17656,1,"User","Ruby","2014-07-08T05:44:19Z","2016-12-14T05:34:10Z","repo"
308770,"plataformatec/devise",7561,false,3711,16306,103,"Organization","Ruby","2009-09-16T12:15:12Z","2016-12-14T08:16:26Z","repo"
8681349,"cantino/huginn",9867,false,1660,15321,274,"User","Ruby","2013-03-10T06:00:31Z","2016-12-14T06:03:40Z","repo"
481872,"mitchellh/vagrant",17951,false,2900,13685,346,"User","Ruby","2010-01-21T08:34:27Z","2016-12-14T02:44:44Z","repo"
27442967,"fastlane/fastlane",54084,false,1925,12827,412,"Organization","Ruby","2014-12-02T17:00:38Z","2016-12-14T08:34:43Z","repo"
2336578,"twbs/bootstrap-sass",11066,false,2892,11625,15,"Organization","Ruby","2011-09-06T18:58:49Z","2016-12-14T09:01:54Z","repo"
13840241,"Thibaut/devdocs",12174,false,741,11169,26,"User","Ruby","2013-10-24T18:16:07Z","2016-12-14T08:55:48Z","repo"
538746,"ruby/ruby",164714,false,3154,11127,104,"Organization","Ruby","2010-02-27T15:55:23Z","2016-12-14T07:15:32Z","repo"
911765,"diaspora/diaspora",100772,false,2801,10988,393,"Organization","Ruby","2010-09-15T05:20:04Z","2016-12-12T18:10:54Z","repo"
3623050,"caskroom/homebrew-cask",69686,false,4407,10124,72,"Organization","Ruby","2012-03-05T02:05:17Z","2016-12-14T09:03:28Z","repo"
341626,"imathis/octopress",170801,false,3065,9519,277,"User","Ruby","2009-10-18T21:41:32Z","2016-12-12T09:19:42Z","repo"
929845,"sass/sass",13164,false,1699,9054,182,"Organization","Ruby","2010-09-22T06:16:55Z","2016-12-14T08:37:12Z","repo"
138312,"capistrano/capistrano",6177,false,1481,9043,59,"Organization","Ruby","2009-02-26T16:14:04Z","2016-12-14T08:17:28Z","repo"
32948863,"jondot/awesome-react-native",1027,false,1095,8982,3,"User","Ruby","2015-03-26T19:58:06Z","2016-12-14T08:56:38Z","repo"
2203645,"CocoaPods/CocoaPods",71666,false,1694,8896,201,"Organization","Ruby","2011-08-14T00:10:53Z","2016-12-14T07:12:18Z","repo"
37382858,"kilimchoi/engineering-blogs",1491,false,1011,8798,1,"User","Ruby","2015-06-13T18:25:17Z","2016-12-14T07:57:36Z","repo"
106995,"sinatra/sinatra",8612,false,1592,8503,67,"Organization","Ruby","2009-01-14T01:27:30Z","2016-12-14T01:43:04Z","repo"
8393,"thoughtbot/paperclip",7206,false,1845,8247,121,"Organization","Ruby","2008-04-10T19:58:20Z","2016-12-14T05:37:57Z","repo"
3314,"spree/spree",103786,false,3713,8018,219,"Organization","Ruby","2008-03-10T14:45:35Z","2016-12-14T05:20:28Z","repo"
1653882,"thoughtbot/bourbon",5864,false,878,7792,21,"Organization","Ruby","2011-04-23T15:41:20Z","2016-12-14T08:06:46Z","repo"
812393,"ruby-grape/grape",8944,false,925,7712,154,"Organization","Ruby","2010-08-02T14:25:08Z","2016-12-14T09:04:34Z","repo"
275604,"resque/resque",2209,false,1416,7598,68,"Organization","Ruby","2009-08-12T00:27:35Z","2016-12-13T15:11:51Z","repo"
361310,"teamcapybara/capybara",10532,false,1095,7486,11,"Organization","Ruby","2009-11-04T22:19:17Z","2016-12-14T07:25:04Z","repo"
2293158,"rapid7/metasploit-framework",292787,false,4683,7313,339,"Organization","Ruby","2011-08-30T06:13:20Z","2016-12-14T08:41:35Z","repo"
1217404,"jordansissel/fpm",4472,false,735,7237,392,"User","Ruby","2011-01-03T20:07:59Z","2016-12-14T03:18:58Z","repo"
903327,"tysongach",,,,,,,,,,"user"
111194,"joshuaogle",,,,,,,,,,"user"
257678,"gabebw",,,,,,,,,,"user"
223180,"kylefiedler",,,,,,,,,,"user"
4912,"sikachu",,,,,,,,,,"user"
4550,"mike-burns",,,,,,,,,,"user"
1576290,"mendozagioo",,,,,,,,,,"user"
952783,"thejameskyle",,,,,,,,,,"user"
225,"mjankowski",,,,,,,,,,"user"
617989,"renaudleo",,,,,,,,,,"user"
2489247,"whmii",,,,,,,,,,"user"
1880526,"twome",,,,,,,,,,"user"
105694,"dgalarza",,,,,,,,,,"user"
1231909,"hmps",,,,,,,,,,"user"
1889710,"HugoGiraudel",,,,,,,,,,"user"
5958957,"bionicrm",,,,,,,,,,"user"
1581276,"kennethormandy",,,,,,,,,,"user"
17579,"Thibaut",,,,,,,,,,"user"
1530865,"borodean",,,,,,,,,,"user"
378585,"hotmeteor",,,,,,,,,,"user"
558455,"bmorrall",,,,,,,,,,"user"
1839,"chriseppstein",,,,,,,,,,"user"
2317604,"creuter",,,,,,,,,,"user"
382099,"damln",,,,,,,,,,"user"
253634,"shreve",,,,,,,,,,"user"
47458,"knuton",,,,,,,,,,"user"
2381,"metaskills",,,,,,,,,,"user"
1479130,"mmwtsn",,,,,,,,,,"user"
320066,"mondoreale",,,,,,,,,,"user"
189693,"mattbrictson",,,,,,,,,,"user"
16700,"nobu",,,,,,,,,,"user"
10538,"akr",,,,,,,,,,"user"
13423,"nurse",,,,,,,,,,"user"
17790,"unak",,,,,,,,,,"user"
9558,"ko1",,,,,,,,,,"user"
4447,"eban",,,,,,,,,,"user"
9831,"drbrain",,,,,,,,,,"user"
11857,"znz",,,,,,,,,,"user"
10236,"knu",,,,,,,,,,"user"
12301,"hsbt",,,,,,,,,,"user"
82712,"kosaki",,,,,,,,,,"user"
21557,"mame",,,,,,,,,,"user"
34552,"shugo",,,,,,,,,,"user"
277819,"zzak",,,,,,,,,,"user"
3124,"tenderlove",,,,,,,,,,"user"
33770,"marcandre",,,,,,,,,,"user"
27350,"kou",,,,,,,,,,"user"
8161,"yugui",,,,,,,,,,"user"
3959,"mrkn",,,,,,,,,,"user"
44209,"nahi",,,,,,,,,,"user"
21976,"nagachika",,,,,,,,,,"user"
15377,"shyouhei",,,,,,,,,,"user"
32117,"k-tsj",,,,,,,,,,"user"
486012,"emboss",,,,,,,,,,"user"
18746,"authorNari",,,,,,,,,,"user"
29440,"sorah",,,,,,,,,,"user"
305451,"tarui",,,,,,,,,,"user"
37002,"ayumin",,,,,,,,,,"user"
179065,"charliesome",,,,,,,,,,"user"
168854,"eregon",,,,,,,,,,"user"
17579,"Thibaut",,,,,,,,,,"user"
2117313,"TrangPham",,,,,,,,,,"user"
1250185,"romeovs",,,,,,,,,,"user"
1426824,"japborst",,,,,,,,,,"user"
6307088,"dhenson02",,,,,,,,,,"user"
1859598,"ShaneQful",,,,,,,,,,"user"
1035167,"Styrke",,,,,,,,,,"user"
306253,"yosiat",,,,,,,,,,"user"
324670,"edno",,,,,,,,,,"user"
297578,"Glandos",,,,,,,,,,"user"
4647136,"hyjk2000",,,,,,,,,,"user"
12337100,"ccorcoveanu",,,,,,,,,,"user"
5305459,"nucular",,,,,,,,,,"user"
1674647,"046569",,,,,,,,,,"user"
150352,"qq99",,,,,,,,,,"user"
4550353,"xuchunyang",,,,,,,,,,"user"
1045603,"cahna",,,,,,,,,,"user"
1222972,"elegantcoder",,,,,,,,,,"user"
544229,"davidyew",,,,,,,,,,"user"
1335366,"dirk-thomas",,,,,,,,,,"user"
5896293,"EddyShure",,,,,,,,,,"user"
3067335,"faustinoaq",,,,,,,,,,"user"
83483,"graphaelli",,,,,,,,,,"user"
397413,"hzamani",,,,,,,,,,"user"
974762,"sarhugo",,,,,,,,,,"user"
1995580,"jairovsky",,,,,,,,,,"user"
1395360,"jdsteinbach",,,,,,,,,,"user"
2248473,"JbIPS",,,,,,,,,,"user"
3858785,"johnzeringue",,,,,,,,,,"user"
760204,"forivall",,,,,,,,,,"user"
23558090,"m1guelpf",,,,,,,,,,"user"
864213,"bayandin",,,,,,,,,,"user"
7226907,"assp1r1n3",,,,,,,,,,"user"
2096101,"Kikobeats",,,,,,,,,,"user"
8289691,"KleoPetroff",,,,,,,,,,"user"
4420468,"caioteixeira",,,,,,,,,,"user"
3375461,"Hongbo-Miao",,,,,,,,,,"user"
910753,"RichardLitt",,,,,,,,,,"user"
2561942,"xohozu",,,,,,,,,,"user"
969983,"adius",,,,,,,,,,"user"
126636,"dreikanter",,,,,,,,,,"user"
389236,"ashishb",,,,,,,,,,"user"
4047597,"aviaryan",,,,,,,,,,"user"
1752436,"dictcp",,,,,,,,,,"user"
6282557,"Kiloreux",,,,,,,,,,"user"
8463904,"kozross",,,,,,,,,,"user"
938453,"matiassingers",,,,,,,,,,"user"
175809,"mre",,,,,,,,,,"user"
1033299,"hugo53",,,,,,,,,,"user"
77602,"svaksha",,,,,,,,,,"user"
170270,"sindresorhus",,,,,,,,,,"user"
679178,"therebelrobot",,,,,,,,,,"user"
484656,"vsouza",,,,,,,,,,"user"
4664280,"huyingjie",,,,,,,,,,"user"
2016091,"itech001",,,,,,,,,,"user"
7338799,"vasili111",,,,,,,,,,"user"
25312,"alec-c4",,,,,,,,,,"user"
3449303,"aloisdg",,,,,,,,,,"user"
8056274,"phanan",,,,,,,,,,"user"
2448125,"DeepAnchor",,,,,,,,,,"user"
216339,"glebm",,,,,,,,,,"user"
197928,"thomas-mcdonald",,,,,,,,,,"user"
89588,"trisweb",,,,,,,,,,"user"
11115,"sporkd",,,,,,,,,,"user"
419884,"cvrebert",,,,,,,,,,"user"
579300,"jkelleyj",,,,,,,,,,"user"
17056,"wndxlori",,,,,,,,,,"user"
780935,"mahnunchik",,,,,,,,,,"user"
23553,"corny",,,,,,,,,,"user"
203423,"yabawock",,,,,,,,,,"user"
1903777,"Blackhawkso",,,,,,,,,,"user"
26794,"bbenezech",,,,,,,,,,"user"
457834,"danielbayerlein",,,,,,,,,,"user"
1472285,"aeyoll",,,,,,,,,,"user"
47848,"rafaelfranca",,,,,,,,,,"user"
2052398,"sbandyopadhyay",,,,,,,,,,"user"
55158,"umairsiddique",,,,,,,,,,"user"
879768,"walgitrus",,,,,,,,,,"user"
3800237,"takiy33",,,,,,,,,,"user"
953092,"AJ-Acevedo",,,,,,,,,,"user"
238342,"adamakhtar",,,,,,,,,,"user"
827224,"agis-",,,,,,,,,,"user"
94782,"ixti",,,,,,,,,,"user"
1477925,"AlexZaytsav",,,,,,,,,,"user"
1131991,"amitport",,,,,,,,,,"user"
1060,"andrew",,,,,,,,,,"user"
88676,"aderyabin",,,,,,,,,,"user"
3390330,"Atul9",,,,,,,,,,"user"
68158,"julian7",,,,,,,,,,"user"
11086,"bernardo",,,,,,,,,,"user"
83835,"cantino",,,,,,,,,,"user"
10236,"knu",,,,,,,,,,"user"
20943,"dsander",,,,,,,,,,"user"
1547934,"Jngai",,,,,,,,,,"user"
382862,"albertsun",,,,,,,,,,"user"
365751,"CloCkWeRX",,,,,,,,,,"user"
1844764,"ianblenke",,,,,,,,,,"user"
753891,"alias1",,,,,,,,,,"user"
429490,"umarsheikh",,,,,,,,,,"user"
2570363,"rishabhjain",,,,,,,,,,"user"
374635,"gtramontina",,,,,,,,,,"user"
4156602,"stvnrlly",,,,,,,,,,"user"
163532,"TildeWill",,,,,,,,,,"user"
113293,"deanputney",,,,,,,,,,"user"
148768,"darrencauthon",,,,,,,,,,"user"
6728841,"racktear",,,,,,,,,,"user"
5382,"chriseidhof",,,,,,,,,,"user"
1342542,"spdustin",,,,,,,,,,"user"
612578,"thiagotalma",,,,,,,,,,"user"
3276355,"mfclarke",,,,,,,,,,"user"
7178130,"bencornelis",,,,,,,,,,"user"
462848,"oroce",,,,,,,,,,"user"
3255038,"irfancharania",,,,,,,,,,"user"
1886014,"brianpetro",,,,,,,,,,"user"
1022918,"International",,,,,,,,,,"user"
