"Id","Label","size","fork","forks","stars","issues","owner","language","created","updated","type"
22458259,"Alamofire/Alamofire",4751,false,3620,20982,21,"Organization","Swift","2014-07-31T05:56:19Z","2016-12-14T08:46:55Z","repo"
21700699,"vsouza/awesome-ios",9249,false,2920,16845,52,"User","Swift","2014-07-10T16:03:45Z","2016-12-14T09:05:49Z","repo"
3606624,"ReactiveCocoa/ReactiveCocoa",28214,false,3062,16110,25,"Organization","Swift","2012-03-02T22:11:24Z","2016-12-14T07:56:54Z","repo"
20965586,"SwiftyJSON/SwiftyJSON",1897,false,2376,12707,44,"Organization","Swift","2014-06-18T14:41:15Z","2016-12-14T07:53:51Z","repo"
32578467,"danielgindi/Charts",153634,false,2165,12159,154,"User","Swift","2015-03-20T10:49:12Z","2016-12-14T05:06:32Z","repo"
29887499,"dkhamsing/open-source-ios-apps",3710,false,2079,11590,6,"User","Swift","2015-01-26T23:32:34Z","2016-12-14T08:41:06Z","repo"
20822291,"ipader/SwiftGuide",9731,false,3025,11160,3,"User","Swift","2014-06-14T01:17:57Z","2016-12-14T06:36:28Z","repo"
21696302,"matteocrippa/awesome-swift",1903,false,1505,10590,3,"User","Swift","2014-07-10T14:04:09Z","2016-12-14T07:55:35Z","repo"
43568832,"PerfectlySoft/Perfect",53277,false,678,9909,21,"Organization","Swift","2015-10-02T18:20:08Z","2016-12-14T09:05:20Z","repo"
50447720,"raywenderlich/swift-algorithm-club",7808,false,1235,9795,38,"Organization","Swift","2016-01-26T17:56:12Z","2016-12-14T08:43:13Z","repo"
28513398,"MengTo/Spring",989,false,1039,9703,101,"User","Swift","2014-12-26T14:57:02Z","2016-12-14T08:52:26Z","repo"
25050844,"Carthage/Carthage",12171,false,705,8483,170,"Organization","Swift","2014-10-10T19:54:55Z","2016-12-14T08:19:37Z","repo"
20541795,"SnapKit/SnapKit",3333,false,859,8362,18,"Organization","Swift","2014-06-05T21:13:40Z","2016-12-14T08:52:08Z","repo"
20430314,"fullstackio/FlappySwift",1703,false,2388,8191,13,"Organization","Swift","2014-06-03T05:04:12Z","2016-12-14T05:24:13Z","repo"
51648174,"allenwong/30DaysofSwift",169679,false,1500,8153,6,"User","Swift","2016-02-13T14:02:12Z","2016-12-14T08:33:38Z","repo"
49910095,"vapor/vapor",8641,false,442,7811,64,"Organization","Swift","2016-01-18T22:37:52Z","2016-12-14T09:07:23Z","repo"
33569135,"ReactiveX/RxSwift",7983,false,985,7092,15,"Organization","Swift","2015-04-07T21:25:17Z","2016-12-14T08:02:00Z","repo"
21796955,"ochococo/Design-Patterns-In-Swift",1076,false,734,6958,5,"User","Swift","2014-07-13T18:15:14Z","2016-12-14T05:29:09Z","repo"
44998092,"JohnCoates/Aerial",14496,false,352,6883,88,"User","Swift","2015-10-26T21:21:31Z","2016-12-14T08:26:29Z","repo"
26133979,"mozilla-mobile/firefox-ios",362448,false,1380,6668,52,"Organization","Swift","2014-11-03T19:07:02Z","2016-12-14T09:05:42Z","repo"
33486016,"onevcat/Kingfisher",36234,false,716,6657,16,"User","Swift","2015-04-06T14:26:21Z","2016-12-14T08:19:12Z","repo"
41215439,"CosmicMind/Material",33694,false,639,6624,23,"Organization","Swift","2015-08-22T16:21:53Z","2016-12-13T18:46:15Z","repo"
26481815,"Ramotion/animated-tab-bar",7453,false,898,6521,35,"Organization","Swift","2014-11-11T11:20:04Z","2016-12-14T07:07:55Z","repo"
18440563,"mxcl/PromiseKit",4598,false,573,6500,13,"User","Swift","2014-04-04T13:54:37Z","2016-12-14T08:49:25Z","repo"
46383222,"IBAnimatable/IBAnimatable",26421,false,507,5741,38,"Organization","Swift","2015-11-17T23:55:21Z","2016-12-14T06:04:47Z","repo"
20506004,"Quick/Quick",2835,false,541,5655,49,"Organization","Swift","2014-06-05T00:29:53Z","2016-12-14T05:23:29Z","repo"
35732214,"realm/SwiftLint",2815,false,389,5310,141,"Organization","Swift","2015-05-16T16:59:31Z","2016-12-14T08:43:46Z","repo"
32262438,"CatchChat/Yep",57387,false,1259,5129,548,"Organization","Swift","2015-03-15T13:41:37Z","2016-12-13T10:24:54Z","repo"
21190654,"lexrus/LTMorphingLabel",805,false,542,5106,15,"User","Swift","2014-06-25T04:48:55Z","2016-12-14T07:26:57Z","repo"
51308720,"IBM-Swift/Kitura",2455,false,313,5015,74,"Organization","Swift","2016-02-08T16:12:21Z","2016-12-14T03:51:49Z","repo"
698982,"allenwong",,,,,,,,,,"user"
16093840,"AppriaTT",,,,,,,,,,"user"
893050,"ayushgoel",,,,,,,,,,"user"
